position,distance
1.000000000000000000e+00,1.567973269999999975e+00
1.016000999999999932e+00,1.567973269999999975e+00
1.031999000000000111e+00,1.567973269999999975e+00
1.048000000000000043e+00,1.567973269999999975e+00
1.064000999999999975e+00,1.567973269999999975e+00
1.080001999999999907e+00,1.567973269999999975e+00
1.096001000000000003e+00,1.567973269999999975e+00
1.112001999999999935e+00,1.567973269999999975e+00
1.127999999999999892e+00,1.567973269999999975e+00
1.144001000000000046e+00,1.567973269999999975e+00
1.160004999999999953e+00,1.567973269999999975e+00
1.176001000000000074e+00,1.567973269999999975e+00
1.191999000000000031e+00,1.567973269999999975e+00
1.207999999999999963e+00,1.567973269999999975e+00
1.224000999999999895e+00,1.567973269999999975e+00
1.240002000000000049e+00,1.567973269999999975e+00
1.256000999999999923e+00,1.567973269999999975e+00
1.271999000000000102e+00,1.567973269999999975e+00
1.288003000000000009e+00,1.567973269999999975e+00
1.304000999999999966e+00,1.567973269999999975e+00
1.320000000000000062e+00,1.567973269999999975e+00
1.336000999999999994e+00,1.567973269999999975e+00
1.351998999999999951e+00,1.567973269999999975e+00
1.368000000000000105e+00,1.567973269999999975e+00
1.384001000000000037e+00,1.567973269999999975e+00
1.400001999999999969e+00,1.567973269999999975e+00
1.416002999999999901e+00,1.567973269999999975e+00
1.432001999999999997e+00,1.567973269999999975e+00
1.448002999999999929e+00,1.567973269999999975e+00
1.463999000000000050e+00,1.567973269999999975e+00
1.480002000000000040e+00,1.567973269999999975e+00
1.495997999999999939e+00,1.567973269999999975e+00
1.512003999999999904e+00,1.567973269999999975e+00
1.528000000000000025e+00,1.567973269999999975e+00
1.544000999999999957e+00,1.567973269999999975e+00
1.560005000000000086e+00,1.567973269999999975e+00
1.576003000000000043e+00,1.567973269999999975e+00
1.592001999999999917e+00,1.567973269999999975e+00
1.608000000000000096e+00,1.567973269999999975e+00
1.624001000000000028e+00,1.567973269999999975e+00
1.640001999999999960e+00,1.567973269999999975e+00
1.656001000000000056e+00,1.567973269999999975e+00
1.672001999999999988e+00,1.567973269999999975e+00
1.688002999999999920e+00,1.567973269999999975e+00
1.704004000000000074e+00,1.567973269999999975e+00
1.720002000000000031e+00,1.567973269999999975e+00
1.736002999999999963e+00,1.567973269999999975e+00
1.752002000000000059e+00,1.567973269999999975e+00
1.768000000000000016e+00,1.567973269999999975e+00
1.784000999999999948e+00,1.567973269999999975e+00
