position,distance
1.000002000000000058e+00,1.149445303999999890e+00
1.016000999999999932e+00,1.149564651999999798e+00
1.031999000000000111e+00,1.149682895999999843e+00
1.048000000000000043e+00,1.149802930000000112e+00
1.063995999999999942e+00,1.149915100000000079e+00
1.080000000000000071e+00,1.150008640000000026e+00
1.096001000000000003e+00,1.150103115999999925e+00
1.111998999999999960e+00,1.150222781999999944e+00
1.127998000000000056e+00,1.150324349999999995e+00
1.143998999999999988e+00,1.150421322000000135e+00
1.159999999999999920e+00,1.150513987999999932e+00
1.176002999999999910e+00,1.150625337999999998e+00
1.191999000000000031e+00,1.150731571999999980e+00
1.207999999999999963e+00,1.150834520000000083e+00
1.224000999999999895e+00,1.150931397999999994e+00
1.240002000000000049e+00,1.151044816000000193e+00
1.256000999999999923e+00,1.151152501999999966e+00
1.272003999999999913e+00,1.151286366000000116e+00
1.288005000000000067e+00,1.151404990000000073e+00
1.304000999999999966e+00,1.151530189999999898e+00
1.320000000000000062e+00,1.151657253999999853e+00
1.336000999999999994e+00,1.151774255999999941e+00
1.351998999999999951e+00,1.151888888000000000e+00
1.368000000000000105e+00,1.151997656000000037e+00
1.384001000000000037e+00,1.152162022000000174e+00
1.399999999999999911e+00,1.152306247999999922e+00
1.416001000000000065e+00,1.152394324000000081e+00
1.431999000000000022e+00,1.152512895999999953e+00
1.447999999999999954e+00,1.152607102000000161e+00
1.463999000000000050e+00,1.152712705999999754e+00
1.480002000000000040e+00,1.152826558000000112e+00
1.496002999999999972e+00,1.152924419999999950e+00
1.512002000000000068e+00,1.153032779999999757e+00
1.528000000000000025e+00,1.153140645999999991e+00
1.544000999999999957e+00,1.153351929999999914e+00
1.560000000000000053e+00,1.153501365999999972e+00
1.576003000000000043e+00,1.153601195999999884e+00
1.592001999999999917e+00,1.153713954000000097e+00
1.608000000000000096e+00,1.153823310000000379e+00
1.624001000000000028e+00,1.153733074000000025e+00
1.639999999999999902e+00,1.153859696000000046e+00
1.656001000000000056e+00,1.153988000000000014e+00
1.672001999999999988e+00,1.154153713999999997e+00
1.688002999999999920e+00,1.154308477999999916e+00
1.704004000000000074e+00,1.154423356000000123e+00
1.719999999999999973e+00,1.154547293999999891e+00
1.736005999999999938e+00,1.154819027999999914e+00
1.752003999999999895e+00,1.154947060000000025e+00
1.768000000000000016e+00,1.155051243999999810e+00
1.784003999999999923e+00,1.155081142000000005e+00
