position,distance
1.099996999999999892e+00,8.544740799999999137e-01
1.109998999999999958e+00,8.731197059999999954e-01
1.120000000000000107e+00,2.748654380000000730e-01
1.129998999999999976e+00,7.928478620000000143e-01
1.139996999999999927e+00,9.025744799999999568e-01
1.149998999999999993e+00,9.044242900000000196e-01
1.159999999999999920e+00,8.974776199999998649e-01
1.169999000000000011e+00,9.323476319999999262e-01
1.180001999999999995e+00,9.225115540000000669e-01
1.189996000000000054e+00,9.445472539999999473e-01
1.199999999999999956e+00,9.258516480000000826e-01
1.209999000000000047e+00,9.734994260000000565e-01
1.220002000000000031e+00,9.709292519999997984e-01
1.230000999999999900e+00,9.576737633333333166e-01
1.239997000000000016e+00,9.083625260000000035e-01
1.249999000000000082e+00,9.534362779999998594e-01
1.260000000000000009e+00,9.984330080000001217e-01
1.269995999999999903e+00,1.034231852000000229e+00
1.280000000000000027e+00,1.044038351999999836e+00
1.290000999999999953e+00,1.037486997500000063e+00
1.299997000000000069e+00,1.027166095999999751e+00
1.309998999999999914e+00,9.974286439999999754e-01
1.320000000000000062e+00,9.477840699999999785e-01
1.330000999999999989e+00,2.712149300000000207e-01
1.340001999999999915e+00,6.808703299999999681e-01
1.450001000000000095e+00,1.215671869999999988e+00
1.460002000000000022e+00,6.634352040000000006e-01
1.470000999999999891e+00,1.235217369999999759e+00
1.480002000000000040e+00,1.232583238000000136e+00
1.490000999999999909e+00,1.254727168000000059e+00
1.500000000000000000e+00,1.264817378000000048e+00
1.510000999999999927e+00,1.275628382000000061e+00
1.520000000000000018e+00,1.273290805999999886e+00
1.529999000000000109e+00,1.296082689999999982e+00
1.540000000000000036e+00,1.305660414000000102e+00
1.549998999999999905e+00,1.315561833999999930e+00
1.560000000000000053e+00,1.325108595999999972e+00
1.569998999999999922e+00,1.335228810000000044e+00
1.580000000000000071e+00,1.345378112000000126e+00
1.590000999999999998e+00,1.356281362000000046e+00
1.600000000000000089e+00,1.366398672000000092e+00
1.610001000000000015e+00,1.376391797999999778e+00
1.619996999999999909e+00,1.386044931999999896e+00
1.630004000000000008e+00,1.396150836000000117e+00
1.639999999999999902e+00,1.405697148000000229e+00
1.649996000000000018e+00,1.398185693999999923e+00
1.659999999999999920e+00,1.425981814000000014e+00
1.670001000000000069e+00,1.436803232000000152e+00
1.680001999999999995e+00,1.446866938000000102e+00
1.689999000000000029e+00,1.456891941999999940e+00
