position,distance
1.099996999999999892e+00,8.544994620000000429e-01
1.109998999999999958e+00,8.046582219999999230e-01
1.119996999999999909e+00,2.743458979999999769e-01
1.129998999999999976e+00,8.388519159999999752e-01
1.139999999999999902e+00,8.868235840000000536e-01
1.150001000000000051e+00,9.027827500000000782e-01
1.159996999999999945e+00,9.219719740000000829e-01
1.170001000000000069e+00,8.750042799999999676e-01
1.179999999999999938e+00,9.171750059999999038e-01
1.189999000000000029e+00,9.270109279999999563e-01
1.199999999999999956e+00,9.118029539999999988e-01
1.209996000000000071e+00,9.733524259999999373e-01
1.219996999999999998e+00,9.828355766666666549e-01
1.229999000000000065e+00,9.350440719999999484e-01
1.240002000000000049e+00,9.221207350000000247e-01
1.249999000000000082e+00,9.407461200000000190e-01
1.259997000000000034e+00,1.022564876000000123e+00
1.270000999999999935e+00,1.033509727500000031e+00
1.280000000000000027e+00,1.030950116000000083e+00
1.290000999999999953e+00,1.040961355999999949e+00
1.500002000000000058e+00,1.252249798000000025e+00
1.510000999999999927e+00,1.275643459999999951e+00
1.520000000000000018e+00,1.285775520000000061e+00
1.529999000000000109e+00,1.295805188000000108e+00
1.540000000000000036e+00,1.305196390000000095e+00
1.549998999999999905e+00,1.315400519999999851e+00
1.560002000000000111e+00,1.324927215999999852e+00
1.570000999999999980e+00,1.334890204000000136e+00
1.579997000000000096e+00,1.345036715999999855e+00
1.589998999999999940e+00,1.355886704000000220e+00
1.599996999999999892e+00,1.366155320000000062e+00
1.610003999999999991e+00,1.376280579999999976e+00
1.620000000000000107e+00,1.368363984000000144e+00
1.629998999999999976e+00,1.395709280000000163e+00
1.639996999999999927e+00,1.387888450000000162e+00
1.649998999999999993e+00,1.415441153999999813e+00
1.659999999999999920e+00,1.425586220000000015e+00
1.670001000000000069e+00,1.436353156000000242e+00
1.679999999999999938e+00,1.446440409999999899e+00
1.689999000000000029e+00,1.456509330000000046e+00
