position,distance
3.500010000000000066e-01,2.074935600000000352e-02
4.300010000000000221e-01,1.009172980000000025e-01
5.100010000000000376e-01,1.818705200000000077e-01
5.900039999999999729e-01,2.624619300000000655e-01
6.700009999999999577e-01,3.429378619999999822e-01
7.500010000000000288e-01,4.234407119999999414e-01
8.300009999999999888e-01,5.040815679999999244e-01
9.100040000000000351e-01,5.845743320000000853e-01
9.900010000000000199e-01,6.650870819999999961e-01
1.069998999999999922e+00,7.455359579999999431e-01
1.149998999999999993e+00,8.261297659999998766e-01
1.229999000000000065e+00,9.067038000000000597e-01
1.309998999999999914e+00,9.873862019999999351e-01
1.389998999999999985e+00,1.061889550000000071e+00
1.470000999999999891e+00,1.148355751999999841e+00
1.550000999999999962e+00,1.228966750000000108e+00
1.629998999999999976e+00,1.309507379999999888e+00
1.710004000000000079e+00,1.390096038000000034e+00
1.790000999999999953e+00,1.470641832000000093e+00
1.870001000000000024e+00,1.551190991999999991e+00
1.950001000000000095e+00,1.631829393999999933e+00
2.030003999999999920e+00,1.712430544000000054e+00
2.110001000000000015e+00,1.792451210000000072e+00
2.190001000000000086e+00,1.873415967999999765e+00
2.270004000000000133e+00,1.953999822000000108e+00
