position,distance
3.500010000000000066e-01,2.087463399999999955e-02
4.300010000000000221e-01,1.014642760000000060e-01
5.100040000000000129e-01,1.820418380000000114e-01
5.900009999999999977e-01,2.610333620000000465e-01
6.699990000000000112e-01,3.429732779999999925e-01
7.499989999999999712e-01,4.160721500000000295e-01
8.300009999999999888e-01,5.042321819999999732e-01
9.100059999999999816e-01,5.847177900000000150e-01
9.900010000000000199e-01,6.651354019999999867e-01
1.070000999999999980e+00,7.455978939999999833e-01
1.149998999999999993e+00,8.262631000000000281e-01
1.230000999999999900e+00,9.068494120000000214e-01
1.310000999999999971e+00,9.875319499999999362e-01
1.389998999999999985e+00,1.068040252000000079e+00
1.470004000000000088e+00,1.148520838000000044e+00
1.550003999999999937e+00,1.229134033999999875e+00
1.630004000000000008e+00,1.309584059999999939e+00
1.710004000000000079e+00,1.390228908000000096e+00
1.790003999999999929e+00,1.470790392000000057e+00
1.870004000000000000e+00,1.551341460000000172e+00
1.950005999999999906e+00,1.631963525999999831e+00
2.030003999999999920e+00,1.712599744000000257e+00
2.110003999999999991e+00,1.793081314000000148e+00
2.189995999999999832e+00,1.873582718000000202e+00
2.270004000000000133e+00,1.954164159999999928e+00
